,ARE,AMT,AVB,BXP,CPT,CBRE,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,INVH,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,SPG,UDR,VTR,VICI,WELL,WY
2000-04-06,30.625,49.34375,36.9375,33.421875,27.6875,0.0,37.84375,0.0,0.0,20.671875,37.03125,0.0,20.046875,11.462602615356445,9.024718284606934,0.0,9.207914113998413,12.619791746139526,22.703125,21.328125,22.15625,9.811046600341797,20.046875,41.84375,21.796859741210938,10.125,3.8540597558021545,0.0,14.515625,57.15625
2000-04-07,31.0,49.859375,37.234375,34.046875,27.78125,0.0,39.09375,0.0,0.0,21.0234375,37.234375,0.0,20.6875,11.462602376937866,9.407122135162354,0.0,9.00681185722351,12.6875,22.828125,21.3125,22.21875,9.87160873413086,20.234375,44.0,22.057899951934814,10.09375,3.961116671562195,0.0,14.65625,57.5625
2000-04-10,31.265625,47.796875,37.484375,34.296875,27.953125,0.0,39.09375,0.0,0.0,21.328125,37.328125,0.0,20.765625,11.50529432296753,9.69774866104126,0.0,8.53186821937561,12.8125,22.875,21.328125,22.28125,9.962451934814453,20.40625,45.90625,22.391451358795166,10.125,4.086016774177551,0.0,14.640625,60.046875
2000-04-11,31.5,45.671875,37.71875,34.453125,28.078125,0.0,38.28125,0.0,0.0,21.453125,37.125,0.0,20.734375,11.491063356399536,9.743637084960938,0.0,8.377832412719727,13.026041746139526,23.0625,21.421875,22.484375,9.848897933959961,20.5625,40.875,22.391450881958008,10.15625,4.30013108253479,0.0,14.65625,61.78125
2000-04-12,31.578125,44.078125,37.703125,34.34375,28.296875,0.0,35.15625,0.0,0.0,21.546875,37.5,0.0,20.828125,11.797017335891724,10.018967628479004,0.0,8.574656009674072,13.135416507720947,23.4375,21.5625,22.640625,9.939741134643555,20.71875,39.515625,22.725002765655518,10.0,4.371502637863159,0.0,15.390625,62.84375
2000-04-13,31.984375,41.90625,37.84375,34.40625,28.71875,0.0,34.5625,0.0,0.0,21.859375,37.65625,0.0,21.03125,11.917976379394531,10.156632423400879,0.0,8.959745407104492,13.083333253860474,23.875,21.671875,22.625,9.962451934814453,20.796875,39.9375,23.131064891815186,10.0,4.389345884323121,0.0,15.859375,60.265625
2000-04-14,31.96875,40.28125,37.84375,34.21875,28.75,0.0,33.5625,0.0,0.0,21.9140625,37.578125,0.0,20.828125,11.946436643600464,9.881301879882812,0.0,8.916957139968872,13.083333253860474,24.21875,21.53125,22.546875,10.083576202392578,20.96875,35.46875,23.435612678527832,9.921875,4.1752312779426575,0.0,15.53125,56.765625
2000-04-17,32.03125,40.484375,37.21875,33.96875,28.609375,0.0,31.6171875,0.0,0.0,21.8125,37.984375,0.0,20.625,12.159893274307251,9.651859998703003,0.0,8.480523347854614,13.041666984558104,24.203125,21.5625,22.5625,10.023014068603516,20.921875,33.875,23.08755874633789,9.859375,4.139545440673828,0.0,15.328125,55.421875
2000-04-18,31.890625,42.828125,37.53125,34.015625,28.84375,0.0,34.34375,0.0,0.0,22.03125,37.921875,0.0,20.265625,12.23104476928711,9.68245244026184,0.0,8.822824478149414,13.140625,23.390625,21.671875,22.640625,10.038154602050783,20.859375,36.8125,22.986042976379395,9.859375,4.228760004043579,0.0,15.609375,54.484375
2000-04-19,31.890625,44.296875,37.84375,34.125,28.796875,0.0,35.94921875,0.0,0.0,22.125,37.796875,0.0,20.359375,12.2808518409729,9.667156219482422,0.0,9.023926973342896,13.161458253860474,23.5,21.875,22.578125,10.091146469116211,20.921875,38.78125,22.971540927886963,9.828125,4.335816860198975,0.0,16.0,53.53125
2000-04-20,31.9375,45.015625,37.96875,34.1875,28.703125,0.0,34.578125,0.0,0.0,22.078125,37.734375,0.0,20.390625,12.302197456359863,9.758933305740356,0.0,9.165126085281372,13.208333253860474,23.625,21.828125,22.453125,10.151708602905273,20.75,37.21875,22.971540927886963,9.875,4.389345645904541,0.0,16.3125,53.6953125
2000-04-24,31.90625,43.421875,37.875,34.265625,28.6875,0.0,33.1875,0.0,0.0,22.265625,37.625,0.0,20.25,12.46584701538086,9.896597862243652,0.0,9.272095680236816,13.270833492279053,23.53125,21.9375,22.28125,10.18955945968628,20.328125,37.59375,22.971540927886963,9.9375,4.335816860198975,0.0,16.546875,54.875
