,ADM,MO,BF.B,BG,CPB,CHD,CLX,KO,CL,CAG,STZ,COST,DG,DLTR,EL,GIS,HSY,HRL,K,KDP,KMB,KHC,KR,LW,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SJM,SYY,TGT,TSN,WBA,WMT
2006-08-24,41.7475004196167,84.16250038146973,0.0,52.482500076293945,37.167500495910645,9.354374885559082,59.84999942779541,22.198749542236328,29.62125015258789,18.036964416503906,25.892499446868896,50.03750038146973,0.0,9.439166784286499,17.598750114440918,26.708750247955322,53.63500118255615,9.28250002861023,49.61999988555908,0.0,59.51582050323486,0.0,11.566250085830688,0.0,17.887499809265137,34.56374931335449,33.054999351501465,5.018332839012146,64.13749885559082,0.0,61.03250026702881,47.6875,30.452499866485596,47.192501068115234,14.377500057220459,48.40250015258789,43.8149995803833
2006-08-25,41.660000801086426,84.15999984741211,0.0,52.53999996185303,37.23500061035156,9.368124961853027,59.71500110626221,22.242499828338623,29.393750190734863,18.305447578430176,26.147500038146973,48.6850004196167,0.0,9.384166955947876,17.511250019073486,26.914999961853027,53.642499923706055,9.026250123977661,49.75500011444092,0.0,59.39597225189209,0.0,11.602500200271606,0.0,17.87125015258789,34.656249046325684,33.0024995803833,5.016249656677246,64.07249927520752,0.0,60.922499656677246,47.50500011444092,30.34999990463257,46.760000228881836,14.367500066757202,47.927499771118164,43.765000343322754
2006-08-28,41.71000003814697,84.375,0.0,52.855000495910645,37.09250068664551,9.388750076293945,60.035000801086426,22.31999969482422,29.461249828338623,18.478598594665527,26.3125,48.94749927520752,0.0,9.459999799728394,17.695000171661377,27.02874994277954,53.75500011444092,8.982500076293945,49.999999046325684,0.0,59.333651542663574,0.0,11.697500228881836,0.0,17.853749752044678,34.81999969482422,32.920000076293945,4.936249375343323,64.45249938964844,0.0,60.71000003814697,47.817501068115234,30.505000114440918,47.51000118255615,14.457499742507935,48.50250053405762,44.36000061035156
2006-08-29,41.40750026702881,83.77249908447266,0.0,54.40999984741211,37.43000030517578,9.446249961853027,60.14500141143799,22.453750133514404,29.543749809265137,18.550583839416504,26.570000171661377,49.10749912261963,0.0,9.558333396911621,18.05999994277954,27.012500286102295,53.55500030517578,9.161250114440918,50.39750003814697,0.0,60.06711387634277,0.0,11.783750057220459,0.0,18.03249979019165,34.89750003814697,33.234999656677246,4.902499318122864,65.35750007629395,0.0,61.08749961853027,48.28999996185303,30.897500038146973,48.33750057220459,14.787500143051147,48.94000053405762,44.462501525878906
2006-08-30,41.39999961853027,84.00749969482422,0.0,55.304999351501465,37.44250011444092,9.487499952316284,60.27999973297119,22.56375026702881,29.733749866485596,18.595330715179443,26.980000495910645,46.982500076293945,0.0,9.558333158493042,18.286250114440918,27.125,53.54999923706055,9.211250066757202,50.4925012588501,0.0,60.441036224365234,0.0,11.812500238418579,0.0,18.073749542236328,34.88249969482422,33.722500801086426,4.851666331291199,65.64249801635742,0.0,61.65750026702881,48.34999942779541,31.30999994277954,48.57250118255615,14.875000238418579,49.0024995803833,44.59749984741211
2006-08-31,41.20249938964844,84.01999855041504,0.0,55.920000076293945,37.492499351501465,9.543750047683716,60.25250053405762,22.483749866485596,29.862499713897705,18.540855884552002,27.17750072479248,47.0600004196167,0.0,9.607499837875366,18.393750190734863,27.115000247955322,53.67499923706055,9.153125047683716,50.59000015258789,0.0,60.62559986114502,0.0,11.851249933242798,0.0,18.104999542236328,34.99499988555908,33.88000011444092,4.661249756813049,65.42000007629395,0.0,61.76249980926514,48.4925012588501,31.46250009536743,48.25500011444092,14.765000104904175,49.269999504089355,44.78750038146973
2006-09-01,41.80999946594238,83.89999771118164,0.0,55.97500038146973,37.65250015258789,9.634374856948853,60.07500076293945,22.50624990463257,30.208750247955322,18.568093299865723,27.28749990463257,47.260000228881836,0.0,9.62583327293396,18.645000457763672,27.170000076293945,54.207499504089355,9.198749780654907,50.50500011444092,0.0,61.2296257019043,0.0,11.90750002861023,0.0,18.28250026702881,35.079999923706055,33.94000053405762,4.6370826959609985,65.51750183105469,0.0,61.9350004196167,48.84500026702881,31.664999961853027,48.89500045776367,14.697499990463257,49.6875,45.06750011444092
2006-09-05,42.0049991607666,83.17999839782715,0.0,55.83500003814697,37.44999980926514,9.644375085830688,60.25500011444092,22.483749866485596,30.34999990463257,18.482490062713623,27.195000171661373,47.86999988555908,0.0,9.62333345413208,18.741250038146973,27.176249980926514,52.48749923706055,9.15750002861023,50.302499771118164,0.0,61.49808311462402,0.0,11.867500066757202,0.0,18.28249979019165,35.054999351501465,33.94999980926514,4.65749979019165,65.24749946594238,0.0,61.484999656677246,48.9375,31.58750009536743,49.14500045776367,14.6850004196167,49.93000030517578,45.63249969482422
2006-09-06,41.415000915527344,82.41250038146973,0.0,55.084999084472656,37.91749954223633,9.650624990463257,59.8700008392334,22.335000038146973,30.485000610351562,18.346303462982178,27.03249979019165,47.890000343322754,0.0,9.527499914169312,18.557499885559082,27.141250133514404,51.802499771118164,9.053750038146973,50.05250072479248,0.0,60.95877265930176,0.0,11.78250002861023,0.0,18.202499866485596,35.051249504089355,33.642499923706055,4.662916302680969,64.93499946594238,0.0,61.45249938964844,48.65499973297119,31.625,48.515000343322754,14.830000162124634,50.3075008392334,45.410000801086426
2006-09-07,40.31750011444092,82.42250061035156,0.0,55.077500343322754,37.74000072479248,9.685624837875366,59.52999973297119,22.27625036239624,30.53375005722046,18.340466499328613,27.1850004196167,47.48249912261963,0.0,9.480000257492065,18.491249561309814,27.022500038146973,51.76749897003174,9.010625123977661,50.09249973297119,0.0,61.282358169555664,0.0,11.769999980926514,0.0,18.271250247955322,34.801249504089355,33.404998779296875,4.617916107177734,64.31499862670898,0.0,61.69749927520752,48.34000015258789,31.6899995803833,48.404998779296875,15.039999961853027,50.454999923706055,45.570000648498535
2006-09-08,39.922499656677246,82.61250114440918,0.0,55.367499351501465,37.232500076293945,9.719375133514404,59.295000076293945,22.2524995803833,30.425000190734863,18.332684993743896,27.517499923706055,47.71249961853027,0.0,9.59749984741211,18.575000286102295,26.625,51.46249961853027,9.057500123977661,49.84749984741211,0.0,61.36864948272705,0.0,11.882499933242798,0.0,18.28749990463257,34.88874912261963,33.56999969482422,4.5808327198028564,64.77250099182129,0.0,61.72999954223633,48.40000057220459,31.81500005722046,49.31999969482422,15.184999942779541,50.470001220703125,46.19250011444092
2006-09-11,38.640000343322754,83.11000061035156,0.0,55.33750057220459,36.79750061035156,9.706875085830688,59.572500228881836,22.252499580383304,30.68875026702881,18.321011066436768,27.612500190734863,48.36500072479248,0.0,9.767500400543213,19.06124973297119,26.425000190734863,50.90499973297119,9.046875,50.02500057220459,0.0,62.07334613800049,0.0,12.002500057220459,0.0,18.261250019073486,34.488749504089355,33.697500228881836,4.468749761581421,64.61000061035156,0.0,61.55249881744385,48.34000015258789,32.207499980926514,50.785000801086426,15.02750015258789,51.04249954223633,46.9975004196167
2006-09-12,37.482500076293945,83.06499862670898,0.0,55.054999351501465,37.187499046325684,9.736875057220459,60.202500343322754,22.33625030517578,31.103749752044678,18.284046173095703,27.789999961853027,49.230000495910645,0.0,10.139166593551636,19.509999752044678,26.335000038146973,50.91249942779541,9.058124780654907,50.35249996185303,0.0,62.586289405822754,0.0,11.632500171661377,0.0,18.324999809265137,33.69375038146973,33.77499961853027,4.623541474342346,64.95749855041504,0.0,61.92499923706055,48.332499504089355,32.92000102996826,51.9375,14.974999904632568,51.22499942779541,47.95750045776367
2006-09-13,37.27499961853027,82.26250076293945,0.0,55.56750011444092,37.177499771118164,9.646250009536743,60.33749961853027,22.327499866485596,30.763749599456787,18.295719623565674,27.727499961853027,49.52250003814697,0.0,10.266666889190674,19.6875,26.327499866485596,50.88999938964844,9.071249961853027,50.05250072479248,0.0,62.50479507446289,0.0,11.353749752044678,0.0,18.416249752044678,33.55875015258789,33.72249984741211,4.884166479110718,64.66499900817871,0.0,61.16499996185303,48.53749942779541,33.34500026702881,52.4950008392334,15.110000133514404,50.10000038146973,47.98750019073486
2006-09-14,38.322500228881836,82.93249893188477,0.0,55.66249942779541,37.40250110626221,9.555000066757202,60.29999923706055,22.271249771118164,30.62750005722046,18.305447101593018,27.730000019073486,49.5575008392334,0.0,10.225833415985107,19.637499809265137,26.15500020980835,50.98750019073486,9.053750038146973,49.99499988555908,0.0,62.150047302246094,0.0,11.505000114440918,0.0,18.425000190734863,33.859999656677246,33.86750030517578,5.382083058357239,64.64000129699707,0.0,60.40500068664551,48.59999942779541,33.34749984741211,52.89249897003174,15.5,49.6274995803833,48.05000019073486
