,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2017-10-02,45.26000118255615,36.41249942779541,116.79249954223633,49.8725004196167,26.59000015258789,36.13749980926514,98.25500106811523,96.1875,35.35111618041992,81.5,45.3774995803833,46.08250045776367,19.06749963760376,13.367500066757202,55.90749931335449,63.88500118255615,55.35249996185303,91.90499877929688,148.20000076293945,68.97750091552734,46.63749980926514,76.89750289916992,29.964999675750732
2017-10-03,45.57499885559082,36.749999046325684,117.54000091552734,49.71749973297119,26.65000009536743,36.47500038146973,100.66000175476074,96.91750144958496,35.30484485626221,81.6100025177002,45.16249942779541,45.8700008392334,18.977500438690186,13.647500276565552,55.80749988555908,63.957499504089355,55.95499897003174,93.8425006866455,152.0974998474121,69.18499946594238,47.265000343322754,77.21750068664551,30.15500020980835
2017-10-04,45.25749969482422,36.769999504089355,117.60000038146973,49.292500495910645,26.547500133514404,36.22999954223633,100.61250114440918,96.4850025177002,34.94828414916992,81.72750091552734,45.12249946594238,45.619998931884766,18.8125,13.90749979019165,56.26750087738037,64.12749862670898,56.32249927520752,93.32250022888184,152.03249740600586,68.98500061035156,47.07500076293945,77.46000099182129,30.15000057220459
2017-10-05,45.5049991607666,36.67499923706055,118.01250076293945,49.59000015258789,26.482499599456787,36.304999351501465,100.3025016784668,96.56750106811523,35.30620574951172,81.89249801635742,45.19499969482422,45.60499954223633,18.97499990463257,13.920000076293945,56.44250011444092,64.35750007629395,56.60500144958496,93.52000045776367,151.60750198364258,68.94250106811523,47.77000045776367,77.57499885559082,30.192500114440918
2017-10-06,45.20499897003174,36.359999656677246,117.48250007629395,49.03750038146973,25.954999923706055,35.8774995803833,98.86499786376953,95.94499969482422,34.85029983520508,81.68249893188477,44.72249984741211,44.65999984741211,18.957499980926514,13.615000009536743,55.982500076293945,63.92500019073486,56.08749961853027,92.83250045776367,150.04999923706055,68.41250038146973,47.760000228881836,76.7750015258789,30.12750005722046
2017-10-09,45.5,36.22499942779541,117.53499984741211,49.010000228881836,25.545000076293945,35.83500003814697,99.6200008392334,96.53999900817871,34.45019054412842,81.95249938964844,44.902499198913574,44.472500801086426,19.05500030517578,13.580000162124634,56.20000076293945,64.07000160217285,56.27999973297119,93.39249992370605,150.66250228881836,68.4325008392334,48.10000038146973,77.15249824523926,30.125
2017-10-10,43.79249954223633,35.545000076293945,118.82750129699707,49.33749961853027,25.47000026702881,36.32499980926514,100.97999954223633,97.10249900817871,34.35220432281494,82.35749816894531,45.304999351501465,44.65499973297119,19.035000324249268,13.697499990463257,56.542500495910645,64.5424976348877,56.27000141143799,93.61250114440918,151.4900016784668,68.59749984741211,47.96999931335449,77.38250160217285,30.15000009536743
2017-10-11,42.242499351501465,34.58250045776367,119.15999984741211,49.35499954223633,25.43250036239624,36.03000068664551,101.15749931335449,96.71500015258789,34.271910667419434,82.40999984741211,45.16749954223633,44.27500057220459,19.009999752044678,13.62749981880188,56.30250072479248,64.44750022888184,56.15250015258789,93.5049991607666,149.56999969482422,67.42499923706055,47.63999938964844,77.61499786376953,30.089999675750732
2017-10-12,41.25500011444092,34.03499889373779,118.89749908447266,49.44499969482422,25.702499866485596,35.597500801086426,100.85000038146973,96.33500099182129,34.349483489990234,82.35249900817871,44.91749954223633,43.917500495910645,18.897500038146973,13.572499990463257,56.3125,64.14999961853027,56.16250038146973,93.89499855041504,147.4124984741211,67.18000030517578,47.427499771118164,77.6150016784668,30.08750009536743
2017-10-13,41.71250057220459,34.07499885559082,119.50500106811523,49.727500915527344,26.12999963760376,36.04249858856201,101.69750022888184,97.01250076293945,34.56995105743408,82.6450023651123,44.989999771118164,44.940001487731934,18.880000114440918,13.799999952316284,56.617499351501465,64.83500289916992,56.644999504089355,94.58500099182129,145.81999969482422,67.50249862670898,47.55250072479248,78.05249977111816,30.125
2017-10-16,42.30000019073486,33.90250015258789,120.0724983215332,49.80250072479248,25.862500190734863,36.022499084472656,102.60499954223633,97.13999938964844,34.232444763183594,82.74999809265137,44.83500003814697,45.802499771118164,18.84999990463257,13.900000095367432,56.09749984741211,64.86499977111816,56.32749938964844,92.21500015258789,144.32749938964844,67.24250030517578,46.397499084472656,77.53250122070312,29.96250009536743
2017-10-17,42.66999912261963,33.69999980926514,120.25500106811523,49.670000076293945,25.77500009536743,35.677499771118164,102.41250038146973,97.25749778747559,34.25966262817383,82.77499961853027,44.46749973297119,45.92500019073486,18.65000009536743,13.857500076293945,56.1274995803833,64.65500068664551,56.30000019073486,90.70499992370605,144.23500061035156,66.70750045776367,45.142499923706055,77.58499908447266,29.87249994277954
2017-10-18,42.89500045776367,33.91249942779541,118.88999938964844,49.80000019073486,25.7475004196167,35.542500495910645,102.5049991607666,97.3075008392334,34.36581325531006,82.91250038146973,44.15999984741211,46.12249946594238,18.602499961853027,13.895000219345093,56.632500648498535,64.67499923706055,55.89999961853027,90.43999862670897,145.82749938964844,66.17500114440918,44.98249912261963,77.53000068664551,29.792500019073486
2017-10-19,42.30500030517578,33.40999984741211,118.23749732971191,49.609999656677246,25.44249963760376,35.047499656677246,101.60499954223633,95.87500190734863,34.19297790527344,82.61750030517578,43.46749973297119,45.27250003814697,18.58750009536743,13.742499828338623,56.70749855041504,64.58749771118164,55.43249988555908,89.98500061035156,143.71499633789062,65.01000022888184,44.22999954223633,77.33999824523926,29.545000076293945
2017-10-20,41.80000019073486,32.53499937057495,118.52499961853027,50.02750110626221,25.500000476837158,34.93249988555908,102.0,96.26999855041504,34.437941551208496,82.92749977111816,43.40000057220459,45.07749938964844,18.577499866485596,13.852499961853027,57.42000102996826,65.26250076293945,55.94999980926514,90.75250053405762,144.29000091552734,63.01750087738037,44.25500011444092,77.95250129699707,29.50499963760376
