,AES,LNT,AEE,AEP,AWK,ATO,CNP,CMS,ED,CEG,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SRE,SO,WEC,XEL
2000-03-16,39.34375,14.7109375,29.96875,29.984375,0.0,18.203125,19.82367181777954,19.234375,30.828125,0.0,19.0078125,26.64893627166748,44.46776866912842,16.03125,19.109375,17.25,19.703125,14.092591047286987,19.578125,5.595703482627869,6.292976498603821,0.0,22.421875,29.046875,9.583233118057251,14.328125,18.015625,13.716614007949829,9.4453125,19.375
2000-03-17,39.0859375,14.7890625,30.25,30.671875,0.0,18.453125,20.152968406677246,19.3125,30.8125,0.0,19.1328125,26.28989315032959,44.426910400390625,16.65625,19.390625,17.125,19.734375,14.02014970779419,19.8125,5.5449219942092896,6.274557948112488,0.0,22.203125,29.15625,9.532297134399414,14.46875,17.9375,13.630706310272217,9.4765625,19.90625
2000-03-20,38.6875,14.8046875,30.21875,30.203125,0.0,18.359375,19.454859256744385,19.359375,30.640625,0.0,18.8671875,26.090425491333008,43.17391490936279,16.421875,19.6875,17.109375,19.96875,13.735957384109497,19.5625,5.429687738418579,6.299115896224976,0.0,21.671875,28.578125,9.525020837783813,14.40625,17.578125,13.344346761703491,9.5390625,19.671875
2000-03-21,37.765625,14.7109375,30.359375,30.0,0.0,17.765625,19.375828742980957,19.359375,30.59375,0.0,18.8984375,25.85106325149536,42.724470138549805,16.0,19.796875,16.859375,20.046875,13.758247375488281,19.765625,5.248047232627869,6.30525541305542,0.0,21.171875,28.0625,9.532296895980835,14.3046875,17.3125,13.172531127929688,9.546875,19.171875
2000-03-22,36.5546875,14.375,30.1875,29.390625,0.0,17.453125,18.954328060150146,19.0625,29.765625,0.0,18.8046875,25.039894104003906,42.029873847961426,15.734375,19.40625,16.546875,19.984375,13.618937253952026,19.578125,5.099609732627869,6.200883984565735,0.0,21.09375,27.1875,9.299446821212769,13.96875,17.0625,12.89571738243103,9.3359375,18.65625
2000-03-23,36.9140625,14.3828125,30.15625,29.46875,0.0,17.765625,18.769922256469727,18.921875,29.75,0.0,18.90625,25.319148063659668,42.8606653213501,15.984375,19.359375,16.578125,20.296875,13.3626070022583,19.46875,5.273437738418579,6.225441932678223,0.0,21.09375,27.015625,9.43042516708374,14.0,17.01171875,12.96253490447998,9.3203125,18.703125
2000-03-24,37.203125,14.4921875,30.234375,29.59375,0.0,17.703125,18.822609424591064,19.046875,29.609375,0.0,18.921875,25.279255390167236,43.500783920288086,15.953125,19.640625,16.6875,20.484375,13.451765060424805,19.71875,5.402343988418579,6.225442171096802,0.0,21.21875,26.90625,9.706934452056885,14.0078125,17.25,13.172531127929688,9.3671875,18.765625
2000-03-27,37.65625,14.3125,30.796875,30.046875,0.0,17.3125,18.769922256469727,19.25,28.96875,0.0,18.822265625,25.505319118499756,44.01832675933838,16.203125,19.984375,16.796875,20.609375,13.457337617874146,20.0625,5.91796875,6.3236740827560425,0.0,21.3125,26.9375,9.699657678604126,14.046875,17.4375,13.506617069244385,9.34375,18.921875
2000-03-28,36.3125,14.046875,30.6875,29.765625,0.0,16.8125,18.546000480651855,19.03125,28.796875,0.0,18.5859375,25.452127933502197,44.113661766052246,16.15625,19.890625,16.53125,20.8125,13.106276750564575,19.828125,5.724609732627869,6.237720966339111,0.0,20.984375,26.765625,9.510467529296875,14.2265625,17.171875,13.33480167388916,9.390625,18.90625
2000-03-29,37.0078125,14.2421875,30.65625,29.734375,0.0,16.71875,18.58551597595215,18.859375,28.921875,0.0,18.53125,25.43882942199707,44.52224922180176,16.296875,20.25,17.296875,20.765625,13.145283699035645,19.953125,5.632812738418579,6.299115896224976,0.0,21.0625,27.140625,9.503191232681274,14.4296875,17.1875,13.3729829788208,9.578125,19.0
